Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 11,Camp 7,6,40,0.25,1,2174.4,1628.42,200.8233759,6310,1004
Scenario 12,Camp 1,6,50,0.25,1,428.4,2882.1,55.83151994,3786,55.83151994
Scenario 12,Camp 2,6,50,0.25,1,642.6,2860.68,83.55389635,3786,86
Scenario 12,Camp 3,6,50,0.25,1,1071,2817.84,138.9982918,3786,268.1684801
Scenario 12,Camp 4,6,50,0.25,1,4282.8,4500.96,554.6744237,3786,1356
Scenario 12,Camp 5,6,50,0.25,1,2483.6,742.52,321.8192585,3786,792
Scenario 12,Camp 6,6,50,0.25,1,1698.4,2074,220.1974522,3786,530
Scenario 12,Camp 7,6,50,0.25,1,2174.4,1628.42,281.8021194,3786,698
Scenario 12,Camp 1,6,50,0.25,1,428.4,2882.1,55.83151994,5048,128
Scenario 12,Camp 2,6,50,0.25,1,642.6,2860.68,83.55389635,5048,240
Scenario 12,Camp 3,6,50,0.25,1,1071,2817.84,138.9982918,5048,440
Scenario 12,Camp 4,6,50,0.25,1,4282.8,4500.96,554.6744237,5048,1742
Scenario 12,Camp 5,6,50,0.25,1,2483.6,742.52,321.8192585,5048,934
Scenario 12,Camp 6,6,50,0.25,1,1698.4,2074,220.1974522,5048,698
Scenario 12,Camp 7,6,50,0.25,1,2174.4,1628.42,281.8021194,5048,866
Scenario 12,Camp 1,6,50,0.25,1,428.4,2882.1,55.83151994,6310,266
Scenario 12,Camp 2,6,50,0.25,1,642.6,2860.68,83.55389635,6310,386
Scenario 12,Camp 3,6,50,0.25,1,1071,2817.84,138.9982918,6310,602
Scenario 12,Camp 4,6,50,0.25,1,4282.8,4500.96,554.6744237,6310,2108
Scenario 12,Camp 5,6,50,0.25,1,2483.6,742.52,321.8192585,6310,1070
Scenario 12,Camp 6,6,50,0.25,1,1698.4,2074,220.1974522,6310,854
Scenario 12,Camp 7,6,50,0.25,1,2174.4,1628.42,281.8021194,6310,1024
Scenario 13,Camp 1,1,20,0.5,1,428.4,2882.1,1284.86899,22716,762
Scenario 13,Camp 2,1,20,0.5,1,642.6,2860.68,1926.555037,22716,1142
Scenario 13,Camp 3,1,20,0.5,1,1071,2817.84,3209.926898,22716,1904
Scenario 13,Camp 4,1,20,0.5,1,4282.8,4500.96,12831.61999,22716,7612
Scenario 13,Camp 5,1,20,0.5,1,2483.6,742.52,7441.69844,22716,4414
Scenario 13,Camp 6,1,20,0.5,1,1698.4,2074,5089.449413,22716,3018
Scenario 13,Camp 7,1,20,0.5,1,2174.4,1628.42,6515.418007,22716,3864
Scenario 13,Camp 1,1,20,0.5,1,428.4,2882.1,1284.86899,30288,1016
Scenario 13,Camp 2,1,20,0.5,1,642.6,2860.68,1926.555037,30288,1524
Scenario 13,Camp 3,1,20,0.5,1,1071,2817.84,3209.926898,30288,2538
Scenario 13,Camp 4,1,20,0.5,1,4282.8,4500.96,12831.61999,30288,10148
Scenario 13,Camp 5,1,20,0.5,1,2483.6,742.52,7441.69844,30288,5886
Scenario 13,Camp 6,1,20,0.5,1,1698.4,2074,5089.449413,30288,4024
Scenario 13,Camp 7,1,20,0.5,1,2174.4,1628.42,6515.418007,30288,5152
Scenario 13,Camp 1,1,20,0.5,1,428.4,2882.1,1284.86899,37860,2236
Scenario 13,Camp 2,1,20,0.5,1,642.6,2860.68,1926.555037,37860,2838
Scenario 13,Camp 3,1,20,0.5,1,1071,2817.84,3209.926898,37860,4030
Scenario 13,Camp 4,1,20,0.5,1,4282.8,4500.96,12831.61999,37860,11576
Scenario 13,Camp 5,1,20,0.5,1,2483.6,742.52,7441.69844,37860,6712
Scenario 13,Camp 6,1,20,0.5,1,1698.4,2074,5089.449413,37860,4590
Scenario 13,Camp 7,1,20,0.5,1,2174.4,1628.42,6515.418007,37860,5878
Scenario 14,Camp 1,1,30,0.5,1,428.4,2882.1,1458.772896,22716,762
Scenario 14,Camp 2,1,30,0.5,1,642.6,2860.68,2187.309595,22716,1142
Scenario 14,Camp 3,1,30,0.5,1,1071,2817.84,3644.38273,22716,1904
Scenario 14,Camp 4,1,30,0.5,1,4282.8,4500.96,14568.34868,22716,7612
Scenario 14,Camp 5,1,30,0.5,1,2483.6,742.52,8448.914302,22716,4414
Scenario 14,Camp 6,1,30,0.5,1,1698.4,2074,5778.294065,22716,3018
Scenario 14,Camp 7,1,30,0.5,1,2174.4,1628.42,7397.264055,22716,3864
Scenario 14,Camp 1,1,30,0.5,1,428.4,2882.1,1458.772896,30288,1016
Scenario 14,Camp 2,1,30,0.5,1,642.6,2860.68,2187.309595,30288,1524
Scenario 14,Camp 3,1,30,0.5,1,1071,2817.84,3644.38273,30288,2538
Scenario 14,Camp 4,1,30,0.5,1,4282.8,4500.96,14568.34868,30288,10148
Scenario 14,Camp 5,1,30,0.5,1,2483.6,742.52,8448.914302,30288,5886
Scenario 14,Camp 6,1,30,0.5,1,1698.4,2074,5778.294065,30288,4024
Scenario 14,Camp 7,1,30,0.5,1,2174.4,1628.42,7397.264055,30288,5152
Scenario 14,Camp 1,1,30,0.5,1,428.4,2882.1,1458.772896,37860,1268
Scenario 14,Camp 2,1,30,0.5,1,642.6,2860.68,2187.309595,37860,1898
Scenario 14,Camp 3,1,30,0.5,1,1071,2817.84,3644.38273,37860,3166
